Unnamed: 0,Reaction ID,Reaction (Long),Reaction (short),Reversible,Gene,Enzyme,Subsystem,TurnoverNumber
,R03458,5-Amino-6-(5'-phosphoribitylamino)uracil + NADP+ = 5-Amino-6-(5'-phosphoribosylamino)uracil + NADPH + H+,C04454 + C00006 <=> C01268 + C00005 + C00080,True,,1.1.1.193,rn00740,
,R03459,"2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone + H2O =5-Amino-6-(5'-phosphoribosylamino)uracil + NH3",C01304 + C00001 <=> C01268 + C00014,False,,3.5.4.26,rn00740,
,R03470,"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate =2-Oxo-2,3-dihydrofuran-5-acetate + CO2",C01278 <=> C03586 + C00011,False,,4.1.1.44,rn00362,
,R03471,ATP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine = ADP +4-Amino-2-methyl-5-phosphomethylpyrimidine,C00002 + C01279 <=> C00008 + C04556,False,,2.7.1.49,rn00730,0.43
,R03472,4-Amino-5-hydroxymethyl-2-methylpyrimidine = Aminoimidazoleribotide,C01279 <=> C03373,True,,,not exist,
,R03503,"ATP + 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine = AMP+ 2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine",C00002 + C01300 <=> C00020 + C04807,False,,2.7.6.3,rn00790,0.17
,R03504,"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine = Glycolaldehyde +2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",C04874 <=> C00266 + C01300,False,,4.1.2.25,rn00790,
,R03530,ATP + dIDP = ADP + dITP,C00002 + C01344 <=> C00008 + C01345,True,complement(NZ_AEYC01000019.1:316021..316419),2.7.4.6,rn00230,232
,R03531,dITP + H2O = 2'-Deoxyinosine 5'-phosphate + Diphosphate,C01345 + C00001 <=> C06196 + C00013,False,,3.6.1.19,rn00230,
,R03544,Butanal + NADH + H+ = 1-Butanol + NAD+,C01412 + C00004 + C00080 <=> C06142 + C00003,True,,1.1.1.-,rn00650,
,R03549,"Gallate + Oxygen = 2-Pyrone-4,6-dicarboxylate + H2O",C01424 + C00007 <=> C03671 + C00001,False,,1.13.11.3,not exist,
,R03595,ATP + Selenide + H2O = AMP + Selenophosphate + Orthophosphate,C00002 + C01528 + C00001 <=> C00020 + C05172 + C00009,False,,2.7.9.3,rn00450,0.0058
,R03601,O-Acetyl-L-serine + Selenide = Selenocysteine + Acetate,C00979 + C01528 <=> C05688 + C00033,False,,2.5.1.47,not exist,0.7
,R03630,"Phthalate + Oxygen + NADH + H+ =cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate + NAD+",C01606 + C00007 + C00004 + C00080 <=> C04783 + C00003,False,,1.14.12.7,rn00624,2.1
,R03632,ATP + Protamine = ADP + O-Phosphoprotamine,C00002 + C01609 <=> C00008 + C02729,True,,2.7.11.1,not exist,0.00016
,R03634,Stachyose + H2O = Raffinose + D-Galactose,C01613 + C00001 <=> C00492 + C00124,False,,3.2.1.22,rn00052,0.57
,R03743,beta-Lactam + H2O = Substituted beta-amino acid,C01866 + C00001 <=> C03806,True,,3.5.2.6,not exist,
,R03751,6-Hexanolide + H2O = 6-Hydroxyhexanoic acid,C01880 + C00001 <=> C06103,True,,3.1.1.17,not exist,
,R03774,L-Rhamnonate = 2-Dehydro-3-deoxy-L-rhamnonate + H2O,C01934 <=> C03979 + C00001,True,,4.2.1.90,rn00051,0.72
,R03777,Octanoyl-CoA + FAD = trans-Oct-2-enoyl-CoA + FADH2,C01944 + C00016 <=> C05276 + C01352,False,,1.3.3.6         1.3.99.3        1.3.99.13       1.3.99.-,rn00071,
,R03778,Octanoyl-CoA + Acetyl-CoA = CoA + 3-Oxodecanoyl-CoA,C01944 + C00024 <=> C00010 + C05265,True,,2.3.1.16,rn00062  rn00071,1.4
,R03824,gamma-Carotene = beta-Carotene,C05435 <=> C02094,True,,5.5.1.19,rn00906,
,R03845,Chlorophyllide + NADP+ = Protochlorophyllide + NADPH + H+,C02139 + C00006 <=> C02880 + C00005 + C00080,True,,1.3.1.33,rn00860,
,R03857,Lauroyl-CoA + FAD = 2-trans-Dodecenoyl-CoA + FADH2,C01832 + C00016 <=> C03221 + C01352,False,,1.3.3.6         1.3.99.3        1.3.99.13       1.3.99.-,rn00071,
,R03858,Lauroyl-CoA + Acetyl-CoA = CoA + 3-Oxotetradecanoyl-CoA,C01832 + C00024 <=> C00010 + C05261,True,,2.3.1.16,rn00062  rn00071,1.4
,R03869,(S)-Methylmalonate semialdehyde + NAD+ + H2O = Methylmalonate +NADH + H+,C06002 + C00003 + C00001 <=> C02170 + C00004 + C00080,True,,1.2.1.3,rn00280,0.0667
,R03877,ATP + Protoporphyrin + Magnesium + H2O = ADP + Orthophosphate +Magnesium protoporphyrin + 2 H+,C00002 + C02191 + C00305 + C00001 <=> C00008 + C00009 + C03516 + 2 C00080,True,,6.6.1.1,rn00860,0.0009
,R03884,Acetyl-CoA + (E)-Glutaconate = Acetate + Glutaconyl-1-CoA,C00024 + C02214 <=> C00033 + C02411,True,,2.8.3.12,not exist,
,R03893,cis-4-Carboxymethylenebut-2-en-4-olide + H2O = 2-Maleylacetate,C04431 + C00001 <=> C02222,True,,3.1.1.45,rn00361,15.4
,R03896,(R)-2-Methylmalate = 2-Methylmaleate + H2O,C02612 <=> C02226 + C00001,True,,4.2.1.35,rn00290 rn00660,
,R03898,2-Methylmaleate + H2O = D-erythro-3-Methylmalate,C02226 + C00001 <=> C06032,True,,,rn00290 rn00660,
,R03936,L-Formylkynurenine + H2O = Formylanthranilate + L-Alanine,C02700 + C00001 <=> C05653 + C00041,False,,3.7.1.3,rn00380,
,R03943,N-Methyltyramine + S-Adenosyl-L-methionine = Hordenine +S-Adenosyl-L-homocysteine,C02442 + C00019 <=> C06199 + C00021,False,NZ_AEYC01000001.1:169292..170101 or ksgA or NZ_AEYC01000021.1:21202..22068 or NZ_AEYC01000007.1:176966..177736,2.1.1.-,rn00350,
,R03947,Precorrin 2 + NAD+ = Sirohydrochlorin + NADH + H+,C02463 + C00003 <=> C05778 + C00004 + C00080,False,,1.3.1.76,rn00860,
,R03948,S-Adenosyl-L-methionine + Precorrin 2 = S-Adenosyl-L-homocysteine+ Precorrin 3A + H+,C00019 + C02463 <=> C00021 + C05772 + C00080,False,,2.1.1.130,rn00860,
,R03950,2 S-Adenosyl-L-methionine + Uroporphyrin III = 2S-Adenosyl-L-homocysteine + Sirohydrochlorin,2 C00019 + C02469 <=> 2 C00021 + C05778,False,,2.1.1.107,rn00860,
,R03955,Xanthurenic acid = 8-Methoxykynurenate,C02470 <=> C05830,True,NZ_AEYC01000001.1:169292..170101 or ksgA or NZ_AEYC01000021.1:21202..22068 or NZ_AEYC01000007.1:176966..177736,2.1.1.-,not exist,
,R03970,gamma-Glutamyl-beta-cyanoalanine+ H2O = 3-Cyano-L-alanine + L-Glutamate,C05711 + C00001 <=> C02512 + C00025,False,,2.3.2.2,rn00460,
,R03971,beta-Aminopropionitrile + L-Glutamate =gamma-Glutamyl-beta-aminopropiononitrile + H2O,C05670 + C00025 <=> C06114 + C00001,True,,2.3.2.2,rn00460,
,R03980,Estrone 3-sulfate + H2O = Sulfate + Estrone,C02538 + C00001 <=> C00059 + C00468,False,,3.1.6.1,rn00140,40900
,R03982,Pentachlorophenol + Oxygen + 2 NADPH + H+ =Tetrachlorohydroquinone + Cl- + 2 NADP+ + H2O,C02575 + C00007 + 2 C00005 + C00080 <=> C03434 + C00698 + 2 C00006 +C00001,False,,1.14.13.50,rn00361,0.02
,R03990,Tetradecanoyl-CoA + FAD = trans-Tetradec-2-enoyl-CoA + FADH2,C02593 + C00016 <=> C05273 + C01352,False,,1.3.3.6         1.3.99.3        1.3.99.13       1.3.99.-,rn00071,
,R03991,Tetradecanoyl-CoA + Acetyl-CoA = CoA + 3-Oxopalmitoyl-CoA,C02593 + C00024 <=> C00010 + C05259,True,,2.3.1.16        2.3.1.155,rn00062  rn00071,
,R04000,Acetyl-CoA + 2-Hydroxyglutarate = Acetate + 2-Hydroxyglutaryl-CoA,C00024 + C02630 <=> C00033 + C03058,True,,2.8.3.12,rn00650,
,R04025,N-Acetylputrescine + H2O + Oxygen = N4-Acetylaminobutanal + NH3 +H2O2,C02714 + C00001 + C00007 <=> C05936 + C00014 + C00027,False,,1.4.3.4,rn00330,
,R04030,ATP + 2-Succinylbenzoate + CoA = AMP + Diphosphate +2-Succinylbenzoyl-CoA,C00002 + C02730 + C00010 <=> C00020 + C00013 + C03160,False,,6.2.1.26,rn00130,0.045
,R04031,"2-Succinylbenzoate + H2O =(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",C02730 + C00001 <=> C05817,True,,4.2.1.113,rn00130,
,R04049,2-Deoxy-D-gluconate + NAD+ = 3-Dehydro-2-deoxy-D-gluconate + NADH+ H+,C02782 + C00003 <=> C03926 + C00004 + C00080,True,,1.1.1.125,not exist,
,R04065,Imidazole-4-acetaldehyde + NAD+ + H2O = Imidazole-4-acetate + NADH+ H+,C05130 + C00003 + C00001 <=> C02835 + C00004 + C00080,True,,1.2.1.3,rn00340,0.0667
,R04095,3-Methylbutanoyl-CoA + FAD = 3-Methylcrotonyl-CoA + FADH2,C02939 + C00016 <=> C03069 + C01352,False,,1.3.99.3        1.3.99.10,rn00280,
,R04112,N-Acetylmuramoyl-Ala + H2O = N-Acetylmuramate + L-Alanine,C02999 + C00001 <=> C02713 + C00041,False,,3.5.1.28,not exist,
,R04137,3-Hydroxyisovaleryl-CoA = 3-Methylcrotonyl-CoA + H2O,C05998 <=> C03069 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17,rn00280,
,R04138,ATP + 3-Methylcrotonyl-CoA + HCO3- = ADP + Orthophosphate +3-Methylglutaconyl-CoA,C00002 + C03069 + C00288 <=> C00008 + C00009 + C03231,False,,6.4.1.4,rn00280,4
,R04148,"Nicotinate D-ribonucleotide + Dimethylbenzimidazole = Nicotinate +N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole + H+",C01185 + C03114 <=> C00253 + C04778 + C00080,True,cobT,2.4.2.21,rn00860,
,R04150,"2-Succinylbenzoyl-CoA = 1,4-Dihydroxy-2-naphthoate + CoA",C03160 <=> C03657 + C00010,True,,4.1.3.36,not exist,0.00022
,R04163,21-Hydroxypregnenolone + NAD+ = 11-Deoxycorticosterone + NADH + H+,C05485 + C00003 <=> C03205 + C00004 + C00080,True,,1.1.1.145       5.3.3.1,rn00140,
,R04170,(S)-3-Hydroxydodecanoyl-CoA = 2-trans-Dodecenoyl-CoA + H2O,C05262 <=> C03221 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17        4.2.1.74,rn00062  rn00071,
,R04172,3-Hydroxy-L-kynurenine = 3-Hydroxykynurenamine + CO2,C03227 <=> C05636 + C00011,False,,4.1.1.-,rn00380,
,R04188,L-3-Amino-isobutanoate + 2-Oxoglutarate = (S)-Methylmalonatesemialdehyde + L-Glutamate,C03284 + C00026 <=> C06002 + C00025,True,,2.6.1.22,rn00280,
,R04203,"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA + NAD+ =2-Methylacetoacetyl-CoA + NADH + H+",C04405 + C00003 <=> C03344 + C00004 + C00080,True,,1.1.1.35        1.1.1.178,rn00280,
,R04204,"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA = 2-Methylbut-2-enoyl-CoA +H2O",C04405 <=> C03345 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17,rn00280,
,R04206,3-Phospho-D-erythronate = Phosphoenol-4-deoxy-3-tetrulosonate +H2O,C03356 <=> C04309 + C00001,True,,4.2.1.11,not exist,
,R04218,Prephytoene diphosphate = Diphosphate + 15-cis-Phytoene,C03427 <=> C00013 + C05421,True,,2.5.1.32,not exist,
,R04221,cis-4-Hydroxy-D-proline + Oxygen =1-Pyrroline-4-hydroxy-2-carboxylate + H2O2,C03440 + C00007 <=> C04282 + C00027,False,,1.4.3.3,rn00330,
,R04224,2-Methylprop-2-enoyl-CoA + H2O = (S)-3-Hydroxyisobutyryl-CoA,C03460 + C00001 <=> C06000,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17,rn00280,
,R04230,ATP + D-4'-Phosphopantothenate + L-Cysteine = AMP + Diphosphate +(R)-4'-Phosphopantothenoyl-L-cysteine,C00002 + C03492 + C00097 <=> C00020 + C00013 + C04352,False,,6.3.2.5,rn00770,0.56
,R04231,CTP + D-4'-Phosphopantothenate + L-Cysteine = CMP + Diphosphate +(R)-4'-Phosphopantothenoyl-L-cysteine,C00063 + C03492 + C00097 <=> C00055 + C00013 + C04352,False,,6.3.2.5,rn00770,0.53
,R04257,"3,4',5-Trihydroxystilbene = 3,3',4'5-Tetrahydroxystilbene",C03582 <=> C05901,True,,1.14.-.-,rn00945,
,R04258,"4-Chlorocatechol + Oxygen = 3-Chloro-cis,cis-muconate",C02375 + C00007 <=> C03585,False,,1.13.11.1,rn00361,0.27
,R04292,"Pyridine-2,3-dicarboxylate + 2 H2O + Orthophosphate =Iminoaspartate + Glycerone phosphate",C03722 + 2 C00001 + C00009 <=> C05840 + C00111,True,,2.5.1.72,rn00760,
,R04300,"Dopamine + H2O + Oxygen = 3,4-Dihydroxyphenylacetaldehyde + NH3 +H2O2",C03758 + C00001 + C00007 <=> C04043 + C00014 + C00027,False,,1.4.3.4         1.4.3.21        1.4.9.2,rn00350  rn00950,
,R04306,(Z)-4-Hydroxyphenylacetaldehyde-oxime + NADPH + H+ + Oxygen =4-Hydroxymandelonitrile + NADP+ + 2 H2O,C04353 + C00005 + C00080 + C00007 <=> C00650 + C00006 + 2 C00001,False,,,not exist,
,R04318,Benzylpenicilloic acid = Penicillin G + H2O,C16672 <=> C05551 + C00001,True,,3.5.2.6,not exist,
,R04326,"5'-Phosphoribosylglycinamide + 5,10-Methenyltetrahydrofolate + H2O= 5'-Phosphoribosyl-N-formylglycinamide + Tetrahydrofolate",C03838 + C00445 + C00001 <=> C04376 + C00101,False,purN,2.1.2.2,rn00670,
,R04378,5-Amino-4-imidazolecarboxyamide + 5-Phospho-alpha-D-ribose1-diphosphate = 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + Diphosphat,C04051 + C00119 <=> C04677 + C00013,False,,2.4.2.7,rn00230,
,R04379,5-Carboxymethyl-2-hydroxymuconate =5-Carboxy-2-oxohept-3-enedioate,C04186 <=> C04052,True,,5.3.3.10,rn00350,
,R04391,ATP + N-((R)-Pantothenoyl)-L-cysteine = ADP +(R)-4'-Phosphopantothenoyl-L-cysteine,C00002 + C04079 <=> C00008 + C04352,False,complement(NZ_AEYC01000013.1:40068..41000),2.7.1.33,rn00770,0.052
,R04420,S-Methyl-5-thio-D-ribose 1-phosphate = S-Methyl-5-thio-D-ribulose1-phosphate,C04188 <=> C04582,True,,5.3.1.23,rn00270,
,R04444,L-1-Pyrroline-3-hydroxy-5-carboxylate + NAD+ + 2 H2O =L-erythro-4-Hydroxyglutamate + NADH + H+,C04281 + C00003 + 2 C00001 <=> C05947 + C00004 + C00080,False,,1.5.1.12,rn00330,
,R04445,L-1-Pyrroline-3-hydroxy-5-carboxylate + NADP+ + 2 H2O =L-erythro-4-Hydroxyglutamate + NADPH + H+,C04281 + C00006 + 2 C00001 <=> C05947 + C00005 + C00080,False,,1.5.1.12,rn00330,
,R04457,"5-Amino-6-(1-D-ribitylamino)uracil + 3,4-Dihydroxy-2-butanone4-phosphate = 6,7-Dimethyl-8-(1-D-ribityl)lumazine + 2 H2O +Orthophosphate",C04732 + C15556 <=> C04332 + 2 C00001 + C00009,False,,2.5.1.78,rn00740,
,R04464,"5,10-Methylenetetrahydromethanopterin + Reduced coenzyme F420 =5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme F420",C04377 + C01080 <=> C04488 + C00876,True,,1.5.99.11,rn00680,
,R04482,"4-Carboxy-2-oxo-3-hexenedioate =4-Carboxy-2-hydroxyhexa-2,4-dienedioate",C05364 <=> C04451,True,,5.3.3.10,not exist,
,R04489,"2-Hydroxy-2-hydropyrone-4,6-dicarboxylate =4-Carboxy-2-hydroxymuconate semialdehyde",C05375 <=> C04484,True,,5.5.1.1,rn00362  rn00627,
,R04506,"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al + NAD+ + H2O =3alpha,7alpha-Dihydroxy-5beta-cholestanate + NADH + H+",C05445 + C00003 + C00001 <=> C04554 + C00004 + C00080,True,,1.2.1.3,not exist,0.0667
,R04509,ATP + 4-Amino-2-methyl-5-phosphomethylpyrimidine = ADP +2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C00002 + C04556 <=> C00008 + C04752,False,,2.7.4.7,rn00730,0.07
,R04546,"Propanoyl-CoA + Chenodeoxycholoyl-CoA = CoA + 3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C00100 + C05337 <=> C00010 + C04644,True,,,not exist,
,R04547,"3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA + FAD =3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA + FADH2",C04644 + C00016 <=> C05447 + C01352,False,,1.3.99.-,rn00626,
,R04573,ATP + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine +D-Alanyl-D-alanine = ADP + Orthophosphate +UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala),C00002 + C05892 + C00993 <=> C00008 + C00009 + C04702,False,,6.3.2.10,rn00550,
,R04592,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA + FAD =3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA + FADH2",C04760 + C00016 <=> C05460 + C01352,True,,1.3.99.-,rn00626,
,R04617,"ATP +UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate + D-Alanyl-D-alanine = ADP + Orthophosphate +UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine",C00002 + C04877 + C00993 <=> C00008 + C00009 + C04882,False,,6.3.2.10,rn00300 rn00550,
,R04620,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate + 3 H2O =2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine + 3 Orthophosphate",C04895 + 3 C00001 <=> C04874 + 3 C00009,False,,3.1.3.1,rn00790,
,R04639,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate + H2O =2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",C04895 + C00001 <=> C06148,True,,3.5.4.16,rn00790,
,R04674,N-Methylhistamine + H2O + Oxygen = Methylimidazole acetaldehyde +NH3 + H2O2,C05127 + C00001 + C00007 <=> C05827 + C00014 + C00027,False,,1.4.3.4,rn00340,
,R04678,"16alpha-Hydroxyandrost-4-ene-3,17-dione + H+ + NADH =16alpha-Hydroxydehydroepiandrosterone + NAD+",C05140 + C00080 + C00004 <=> C05139 + C00003,True,,1.1.1.145       5.3.3.1,rn00140,
,R04734,4a-Hydroxytetrahydrobiopterin = Dihydrobiopterin + H2O,C15522 <=> C00268 + C00001,True,,4.2.1.96,not exist,
,R04737,(S)-3-Hydroxyhexadecanoyl-CoA + NAD+ = 3-Oxopalmitoyl-CoA + NADH +H+,C05258 + C00003 <=> C05259 + C00004 + C00080,True,,1.1.1.35        1.1.1.211,rn00062  rn00071,
,R04738,(S)-3-Hydroxyhexadecanoyl-CoA = trans-Hexadec-2-enoyl-CoA + H2O,C05258 <=> C05272 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17        4.2.1.74,rn00062  rn00071,
,R04739,(S)-3-Hydroxytetradecanoyl-CoA + NAD+ = 3-Oxotetradecanoyl-CoA +NADH,C05260 + C00003 <=> C05261 + C00004,True,,1.1.1.35        1.1.1.211,rn00062  rn00071,
,R04740,(S)-3-Hydroxytetradecanoyl-CoA = trans-Tetradec-2-enoyl-CoA + H2O,C05260 <=> C05273 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17        4.2.1.74,rn00062  rn00071,
,R04741,(S)-3-Hydroxydodecanoyl-CoA + NAD+ = 3-Oxododecanoyl-CoA + NADH +H+,C05262 + C00003 <=> C05263 + C00004 + C00080,True,,1.1.1.35        1.1.1.211,rn00062  rn00071,
,R04742,Decanoyl-CoA + Acetyl-CoA = CoA + 3-Oxododecanoyl-CoA,C05274 + C00024 <=> C00010 + C05263,True,,2.3.1.16,rn00062  rn00071,1.4
,R04743,(S)-Hydroxydecanoyl-CoA + NAD+ = 3-Oxodecanoyl-CoA + NADH + H+,C05264 + C00003 <=> C05265 + C00004 + C00080,True,,1.1.1.35        1.1.1.211,rn00062  rn00071,
,R04744,(S)-Hydroxydecanoyl-CoA = trans-Dec-2-enoyl-CoA + H2O,C05264 <=> C05275 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17        4.2.1.74,rn00062  rn00071,
,R04745,(S)-Hydroxyoctanoyl-CoA + NAD+ = 3-Oxooctanoyl-CoA + NADH + H+,C05266 + C00003 <=> C05267 + C00004 + C00080,True,,1.1.1.35        1.1.1.211,rn00062  rn00071,
,R04746,(S)-Hydroxyoctanoyl-CoA = trans-Oct-2-enoyl-CoA + H2O,C05266 <=> C05276 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17        4.2.1.74,rn00062  rn00071,
,R04747,Hexanoyl-CoA + Acetyl-CoA = CoA + 3-Oxooctanoyl-CoA,C05270 + C00024 <=> C00010 + C05267,True,,2.3.1.16,rn00062  rn00071,1.4
,R04748,(S)-Hydroxyhexanoyl-CoA + NAD+ = 3-Oxohexanoyl-CoA + NADH + H+,C05268 + C00003 <=> C05269 + C00004 + C00080,True,,1.1.1.35        1.1.1.211,rn00062  rn00071,
,R04749,(S)-Hydroxyhexanoyl-CoA = trans-Hex-2-enoyl-CoA + H2O,C05268 <=> C05271 + C00001,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17        4.2.1.74,rn00062  rn00071,
,R04751,Hexanoyl-CoA + FAD = trans-Hex-2-enoyl-CoA + FADH2,C05270 + C00016 <=> C05271 + C01352,False,,1.3.3.6         1.3.8.1         1.3.99.3        1.3.99.13       ,rn00071,
,R04754,Decanoyl-CoA + FAD = trans-Dec-2-enoyl-CoA + FADH2,C05274 + C00016 <=> C05275 + C01352,False,,1.3.3.6         1.3.99.3        1.3.99.13       1.3.99.-,rn00071,
,R04770,Selenomethionine + H2O = Methaneselenol + NH3 + 2-Oxobutanoate,C05335 + C00001 <=> C05703 + C00014 + C00109,False,NZ_AEYC01000001.1:311535..312641,4.4.1.1         4.4.1.11,rn00450,
,R04771,ATP + Selenomethionine + H2O = Orthophosphate + Diphosphate +Se-Adenosylselenomethionine,C00002 + C05335 + C00001 <=> C00009 + C00013 + C05691,False,SAM-s,2.5.1.6,not exist,0.0000883
,R04777,4-Hydroxyphenylacetyl-CoA + Glycine = 4-Hydroxyphenylacetylglycine+ CoA,C05338 + C00037 <=> C05596 + C00010,False,,2.3.1.-,rn00350,
,R04783,3-Ketolactose + H2O = 3-Keto-beta-D-galactose + D-Glucose,C05403 + C00001 <=> C05394 + C00031,False,,3.2.1.23,not exist,
,R04785,"Dehydroascorbate + H2O =(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate",C05422 + C00001 <=> C04575,True,,3.1.1.17,rn00053,
,R04801,Neurosporene = beta-Zeacarotene,C05431 <=> C05434,True,,5.5.1.19,rn00906,
,R04805,"3alpha,7alpha,26-Trihydroxy-5beta-cholestane + NAD+ =3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al + NADH + H+",C05444 + C00003 <=> C05445 + C00004 + C00080,True,,1.1.1.1,not exist,
,R04810,"3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA + NAD+ =3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA + NADH + H+",C05448 + C00003 <=> C05449 + C00004 + C00080,True,,1.1.1.35,rn00120,
,R04812,"3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA + NAD+= 3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA +NADH + H+",C05450 + C00003 <=> C05467 + C00004 + C00080,True,,1.1.1.35,rn00120,
,R04831,Cortolone + NAD+ = Urocortisone + NADH + H+,C05481 + C00003 <=> C05470 + C00004 + C00080,True,,1.1.1.53,rn00140,
,R04834,Cortol + NAD+ = Urocortisol + NADH + H+,C05482 + C00003 <=> C05472 + C00004 + C00080,True,,1.1.1.53,rn00140,
,R04844,"3alpha,20alpha,21-Trihydroxy-5beta-pregnane-11-one + NAD+ =3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione + NADH + H+",C05483 + C00003 <=> C05478 + C00004 + C00080,True,,1.1.1.53,rn00140,
,R04847,Pregnanediol + NAD+ = 3alpha-Hydroxy-5beta-pregnane-20-one + NADH+ H+,C05484 + C00003 <=> C05480 + C00004 + C00080,True,,1.1.1.53,rn00140,
,R04849,"11-Deoxycortisol + H+ + NADH = 17alpha,21-Dihydroxypregnenolone +NAD+",C05488 + C00080 + C00004 <=> C05487 + C00003,True,,1.1.1.145       5.3.3.1,rn00140,
,R04868,Isopenicillin N + Phenylacetyl-CoA + H2O = Penicillin G +L-2-Aminoadipate + CoA,C05557 + C00582 + C00001 <=> C05551 + C00956 + C00010,True,,2.3.1.164,not exist,
,R04880,"3,4-Dihydroxyphenylethyleneglycol + NAD+ =3,4-Dihydroxymandelaldehyde + NADH + H+",C05576 + C00003 <=> C05577 + C00004 + C00080,True,,1.1.1.1, rn00350 ,
,R04885,"-Carboxy-2,3-dihydro-5,6-dihydroxyindole = 5,6-Dihydroxyindole + CO2",C05604 <=> C05578 + C00011,False,,4.1.1.-,not exist,
,R04890,3-Methoxytyramine + H2O + Oxygen =3-Methoxy-4-hydroxyphenylacetaldehyde + H2O2 + NH3,C05587 + C00001 + C00007 <=> C05581 + C00027 + C00014,False,,1.4.3.4,rn00350,
